tmin	tier	text	tmax
0	phones	sil	0.980
0.980	phones	spn	1.200
0.980	words	<unk>	1.200
1.200	phones	sp	6.750
6.750	words	i	6.920
6.750	phones	AY1	6.920
6.920	phones	EY1	6.990
6.920	words	am	7.190
6.990	phones	EH1	7.040
7.040	phones	M	7.190
7.190	phones	S	7.720
7.190	words	sitting	7.990
7.720	phones	IH1	7.750
7.750	phones	T	7.860
7.860	phones	IH0	7.890
7.890	phones	NG	7.990
7.990	phones	IH0	8.040
7.990	words	in	8.100
8.040	phones	N	8.100
8.100	words	a	8.180
8.100	phones	AH0	8.180
8.180	phones	R	8.310
8.180	words	room	8.730
8.310	phones	UW1	8.490
8.490	phones	M	8.730
8.730	phones	sp	11.660
11.660	phones	D	11.750
11.660	words	different	12.230
11.750	phones	IH1	11.830
11.830	phones	F	11.970
11.970	phones	R	12.010
12.010	phones	AH0	12.050
12.050	phones	N	12.130
12.130	phones	T	12.230
12.230	phones	F	12.350
12.230	words	from	12.620
12.350	phones	ER0	12.400
12.400	phones	M	12.620
12.620	phones	DH	12.650
12.620	words	the	12.700
12.650	phones	AH1	12.700
12.700	phones	W	12.830
12.700	words	one	13.040
12.830	phones	AH1	12.910
12.910	phones	N	13.040
13.040	phones	Y	13.080
13.040	words	you	13.250
13.080	phones	UW1	13.250
13.250	phones	AA1	13.370
13.250	words	are	13.440
13.370	phones	R	13.440
13.440	phones	IH0	13.530
13.440	words	in	13.600
13.530	phones	N	13.600
13.600	phones	N	13.750
13.600	words	now	14.010
13.750	phones	AW1	14.010
14.010	phones	sp	17.670
17.670	phones	spn	17.710
17.670	words	<unk>	17.710
17.710	phones	sp	17.760
17.760	phones	AY1	17.920
17.760	words	i	17.920
17.920	phones	AE1	18.000
17.920	words	am	18.100
18.000	phones	M	18.100
18.100	phones	R	18.140
18.100	words	recording	18.880
18.140	phones	AH0	18.190
18.190	phones	K	18.390
18.390	phones	AO1	18.490
18.490	phones	R	18.540
18.540	phones	D	18.580
18.580	phones	IH0	18.650
18.650	phones	NG	18.880
18.880	phones	DH	18.930
18.880	words	the	18.970
18.930	phones	AH1	18.970
18.970	phones	S	19.160
18.970	words	sound	19.410
19.160	phones	AW1	19.300
19.300	phones	N	19.360
19.360	phones	D	19.410
19.410	phones	AH0	19.440
19.410	words	of	19.520
19.440	phones	V	19.520
19.520	phones	M	19.600
19.520	words	my	19.750
19.600	phones	AY1	19.750
19.750	phones	S	19.970
19.750	words	speaking	20.380
19.970	phones	P	20.070
20.070	phones	IY1	20.160
20.160	phones	K	20.250
20.250	phones	IH0	20.290
20.290	phones	NG	20.380
20.380	phones	V	20.510
20.380	words	voice	20.970
20.510	phones	OY1	20.760
20.760	phones	S	20.970
20.970	phones	sp	23.530
23.530	phones	AE1	23.600
23.530	words	and	23.710
23.600	phones	N	23.650
23.650	phones	D	23.710
23.710	phones	AY1	23.770
23.710	words	i	23.770
23.770	phones	AE1	23.860
23.770	words	am	23.950
23.860	phones	M	23.950
23.950	phones	G	24.040
23.950	words	going	24.170
24.040	phones	OW1	24.070
24.070	phones	IH0	24.140
24.140	phones	N	24.170
24.170	phones	T	24.220
24.170	words	to	24.280
24.220	phones	UW1	24.280
24.280	phones	P	24.430
24.280	words	play	24.560
24.430	phones	L	24.490
24.490	phones	EY1	24.560
24.560	phones	IH0	24.610
24.560	words	it	24.720
24.610	phones	T	24.720
24.720	phones	B	24.790
24.720	words	back	25.060
24.790	phones	AE1	24.960
24.960	phones	K	25.060
25.060	phones	IH0	25.150
25.060	words	into	25.360
25.150	phones	N	25.240
25.240	phones	T	25.310
25.310	phones	AH0	25.360
25.360	phones	DH	25.430
25.360	words	the	25.530
25.430	phones	AH0	25.530
25.530	phones	R	25.620
25.530	words	room	25.980
25.620	phones	UW1	25.790
25.790	phones	M	25.980
25.980	phones	sp	27.230
27.230	phones	AH0	27.370
27.230	words	again	27.850
27.370	phones	G	27.530
27.530	phones	EH1	27.620
27.620	phones	N	27.850
27.850	phones	AE1	27.920
27.850	words	and	28.000
27.920	phones	N	27.960
27.960	phones	D	28.000
28.000	phones	AH0	28.090
28.000	words	again	28.590
28.090	phones	G	28.170
28.170	phones	EH1	28.330
28.330	phones	N	28.590
28.590	phones	sp	29.850
29.850	phones	AH0	30.020
29.850	words	until	30.330
30.020	phones	N	30.080
30.080	phones	T	30.180
30.180	phones	IH1	30.230
30.230	phones	L	30.330
30.330	phones	DH	30.400
30.330	words	the	30.740
30.400	phones	IY0	30.740
30.740	phones	sp	30.770
30.770	phones	R	32.210
30.770	words	resonant	32.620
32.210	phones	EH1	32.290
32.290	phones	Z	32.370
32.370	phones	AH0	32.430
32.430	phones	N	32.470
32.470	phones	AH0	32.510
32.510	phones	N	32.560
32.560	phones	T	32.620
32.620	phones	F	32.720
